"nombre","titulo_comentario","contenido_comentario"
"Home Burgers","PESIMAS","Cruda la carne y absolutamente grasosas. Poco sabor. A pesar de ser precios cómodos son Caras para lo malas. No las recomiendo"
"Amen Ramen","Una amarga, amarguísima experiencia","esa estrella se la doy nada mas a la atención, que fué lo único bueno. Me parece carísimo para la calidad del producto. He comido muchas clases de ramen pero este en particular estaba feo. Una sopa totalmente desequilibrada en sus sabores, asquerosamente condimentada y...Más"
"Selina Bogota La Candelaria - Restaurante","Pésima atención y comida normal para el precio...","Visité el restaurante de Selina porque se veía un lugar ameno, sin embargo, desde que llegamos nadie nos recibió, finalmente buscamos nosotros mismos una mesa, después de un tiempo esperando nadie se acercó a entregarnos la carta por lo que tuve que ir a solicitarla...Más"
"La Cerveceria","No pierdan su dinero y pasen un mal rato.","El 3 de octubre de 2021 ordene  unos nachos los cuales según el menú tenían: pico de gallo, guacamole, Chili con carne, queso y jalapeños. Decepción total era una montaña de nachos untadas de salsa de queso. Informe la inconformidad y no hicieron nada solo...cobrarme la cuenta 39.900por unos nachos de paquete en un plato. No pierdan su dinero.Más"
"Misia by Leo Espinosa Zona G","Pésimo","La comida es de muy mala calidad, los jugos y raspados no son de fruta, son artificiales bebidas y la atención pésima"
"Republik","Para no volver a ir","Hacia muchos muchos meses que no cenaba en este restaurante . Sinceramente no recordaba una comida tan mala y menos japonesa 

Se me ocurrió pedir un steak tartar de salmos , que gran error por mi parte .  Ni la presentación es buena y es...probablemente el peor steak tartar que he comido en mi vida 

No volveré a ir a este restauranteMás"
"Coctel del Mar","Nunca contestan, domicilio 3 horas después y comida fría","Me demoré 40 minutos intentando que contesten, luego es un proceso tedioso y largo para tomar el pedido, la comida llega 3 horas después y además fría. Lástima porque la comida es rica pero al llegar fría se pierde toda la calidad y el sabor....Más"
"restaurante mirador la paloma","Ridiculous prices !","El lugar puede tener un ambiente acogedor por encontrarse en una de las mejores vistas de la cuidad. Pero los precios y la atención son totalmente desastrosas.  Cuando llegamos no tenían menús disponibles y solo habían un par de mesas ocupadas. La mesera no sabia...Más"
"Juana la Loca","Es una lastima","El local y el montaje del Restaurante son muy buenos, una terraza muy bonita ; pero la Comida es muy mala. Ordenamos dos entradas que fueron muy regulares y guardamos la Esperanza para el principal... Pero fue un desastre, pasta son salmon que no decia...Más"
"Kurenai Maid Cafe","Decepción total","No tiene la magia de un maid café, aunque amables las meseras no se comparan en nada al servicio que se recibe en cualquier sitio en  AKIHABARA, no hay canto o algo extra. Esta primera vez que como tempura sin que tubiera tempura, solo 4...Más"
"Fruterias Patty","Solo nombre","En varias ocasiones realice pedido a domicilio y llegaba con el helado derretido y otras nunca llegó el pedido. Hice el reclamo y nunca respondieron. Y la tapa fue hoy que hice el pedido y me dicen que no tienen coco, qué vergüenza"
"Balsamico","Primera y última vez","El servicio al cliente es algo que en este lugar no conocen,  botan el menú al cliente, la orden nunca llegó completa, sin embargo si iban a cobrar todo, se les solicitó cambio de factura y no deseaban acceder en un inicio, preferí ir al...Más"
"Il Filetto","Pésimo de verdad","Un amigo me avisó que los restaurantes en Bogotá estaban realizando el Bogotá food week y decidimos probar con este restaurante pues tenía buenos comentarios y calificaciones. Realizamos la reservación a través de la página oficial de ese evento e igual quedo registrada en restorando....Más"
"Enchiladas La Candelaria","Decepcionante","Terrible el servicio, más de 50 minutos para servir la comida, que tampoco ameritaba tanta demora. Aunado a que la comida no tenía casi sabor. Realmente muy decepcionada. El precio desproporcionado con la calidad de la comida."
"Gigi's","TERRIBLE EXPERIENCIA","Desafortunadamente es una terrible experiencia, fui con mi familia, la comida tardo más de 45 minutos, los cuales solo llegaron 4 de 5 platos y el 5to llego 15 minutos después... en total 1 hora para un simple plato de pasta el cual parecía hecho...Más"
"Bagatelle","Pésimo servicio","La comida es regular, buenas ideas mal implementadas, el servicio es muy malo. Prácticamente nos levantaron de la mesa porque tenían que arreglar el espacio para un bautizo. Es un lugar pretencioso."
"Crepes & Waffles","Creps and waffles  world trade center","Una pesima experiencia, Al desayuno  los jugos los sirvieron en vasos sucios 2 veces,  el chocolate no es natural  es instantaneo parece chocolisto mal hecho,  la atencion demorada y a destiempo, en general muy regular..  y el precio... ni se diga,  con ese valor voy...Más"
"Bagatelle","Pésimo","El pan es una porquería.  Los huevos asquerosos. Los jugos malos. El servicio lento y desentendido.  Los precios exageradamente elevados.  No regresaría jamás."
"Tremenda Sal y Dulce","Mal servicio","La ubicación del lugar es compleja, llamas y las personas tampoco te ubican, en las aplicaciones tampoco especifican como llegar. Para que tomaran el pedido se demoraron 15 minutos y casi 40 minutos para que llevaran la comida. En pleno día de padre ni siquiera...tenían pan... llevaron los componentes por partes, terminamos desayunando a cuotas... en conclusión un servicio TREMENDAmente MALO. No vayan!!Más"
"El Bandido Bistro","El peor lugar de la historia","Éramos 4 y esperé dos horas para una mesa y nos dieron el bar y esperé dos horas para una mesa, después de 3 horas nos fuimos"
"restaurante mirador la paloma","Mal servicio, mala comida, precios elevados","Una de las peores experiencia ms gastronómicas. El servicio es lento, mala actitud. L comida es insípida y se demora un montón, los cubiertos que me dieron estaban sucios y rotos. Los precios son exagerados.
Recomiendo no ir nunca a ese lugar."
"El Corral Gourmet","Comida en malas condiciones","Fuimos almorzar al corral Gourmet del cc Santa Fe y ordenamos con mi esposo unas Hamburguesas a bistec caballo y de chipotle ... la carne estaba mal cocida y nos intoxicamos... el colmo pagar  70.000 pesos para acabar intoxicados..."
"Jungla Kumba","Pésimo servicio / comida","Buena ambientación, el servicio desordenado, la comida aceptable pero demorada y excesivamente costosa! Pedimos sushi: muy escasa selección a un precio astronómico. Fuimos con niños y el trato hacia ellos fue muy desconsiderado.Más"
"Restaurante Te Encantare","Desencantare pesimamente","Es increíble como un lugar pueda tener tan mal servicio, este lo reúne todo en lo peor, peor servicio, peor atención. Tratan a la gente como si estuvieran afanados, por salir del paso, el mesero es déspota al igual que el administrador. No terminamos de...comer y ya nos habían retirado el plato, la forma de preguntar si queremos postres: "" van a querér postre? Si o no "" no es la manera de atender a los clientes. No siendo suficiente nos parece incoherente pagar un servicio de atencion pésima y nos negamos, y se ponen bravos y además detrás de la factura ponen una anotación muy amenazante. 
Terrible este lugar.
Si quiere tener una buena experiencia ni se le ocurra conocerlo.
Además es discriminante al escribir que ""solo comen unas ensaladas"" que acaso esta mal comer eso ? Lo tienen de adorno en la cartaMás"
"Hatsuhana","Pésimo y Caro, se quedó en el pasado","Hace 20 años fue un buen restaurante. El estado de sus instalaciones y la comida es peor. Sin embargo es un restaurante supremamente costoso y sirve comida pésima. Si quieren buena comida japonesa vayan a Sushi go zen en la 94 con 13 es el...Más"
"14 Inkas","¨Pésimo servicio¨","Lamentablemente como consumidor tenga que escribir líneas de inconformismo, con respecto al servicio de este establecimiento de esta categoría....El mesero sin actitud de servicio, o mejor dicho que los peruanos no tenemos derecho de ser bien atendidos como cualquier ciudadano? Por cierto esa chicha morada...Más"
"La Granja Naranja","Muy malo el servicio","El pedido toco cambiarlo pues después de tomarlo a la media hora nos dijeron que no había ajiaco, ni babybeef,, adixionaomente, el pedido llegó incompleto y trajeron dos humus cuando solo se hqbia pedido  7no, se pidieron dos ensaladas iguales pero uno venía con mucho...Más"
"Madre","Servicio terrible, las reservas no respetado","Se colocó una reserva con 24 horas de antelación mediante su sistema basado en la web para una celebración de cumpleaños, y no fue respetado. Tanto la anfitriona y una camarera era grosero, no ofrece ninguna solución y nos fuimos de culpar de la situación...de nosotros, los clientes. Ni siquiera una disculpa. No tuvimos la oportunidad de probar su comida, pero su servicio es muy relato de cómo valoran los clientes, así que nunca volveré y no recomendaría este lugar, mucho menos para una celebración.Más"
"Wingz N Beer","No les importa en lo más mínimo el cliente","Francamente no recomiendo este restaurante... menos si es para pedir un domicilio cuando estas muriendo de hambre. 3 horas para un domicilio y ni una llamada para informar y decirnos que mejor pidiéramos a otro restaurante. Lo más triste después de, es que te llegue...el pedido incompleto y además que lo que más espera un miembro de tu familia nunca llegue, porque simplemente decidieron cambiar el pedido. Luego llamas y te dicen que van a enviar lo que falto y una cortesía.... lo cual nunca llego. De hecho en el primer pedido después de mucho intentarlo nos dijeron q nos iban a enviar algo y nada, peor aun, como les dije llego incompleto. Que tristeza, señores con los clientes no se juega así.Más"
"Casa Vieja Restaurantes","Servicio terrible, desastrosa comida.","El servicio era bastante disquete, como no pudieron explicar dos veces cómo los platos servidos o preparados. Acabaron llevando 3 platos equivocados. Horrible! Se dirige mejor McD, deben poder ayudarle mejor."
"restaurante mirador la paloma","Atraco - Truffa","Lo peor visto en Bogotà! 
Esta situado en la calera a unos pocos kilometros de Monserrate.
*Costo entrada/Cover: $40.000 lo cual puede no ser tan terrible para algunas personas, si le avisan que en la cuenta se lo van a cobrar. 
*Atención: malisima. Creo que...Más"
"Trementina restaurante Galeria","Mucho humo","Permiten a sus clientes fumar adrentro irespetando a los que no fuman, además de ir contra de la ley. Pero si corrigen esto el bar es totalmente recomendable. Buena música aunque por ahora mal ambiente"
"Cantina La 15 Bogotá","Pésimo servicio , meseros groseros atención desastrosa . Administrador grosero","Pésimo servicio , meseros groseros atención desastrosa . Administrador grosero. Se paga un alto costo por un servicio desastroso justificado por su administradorMás"
"Tamarine Asian Cuisine","No recomendable para celebraciones","Para pedir un postre de cumpleaños hay que mostrar la cédula del cumpleaños, d cepcionante la atención y la ausencia de sentido común, no lo recomiendo ni para familias  o celebracionesMás"
"Pizzeria DQM Da Quei Matti","Algo pasa....ya no es lo mismo","Voy con frecuencia a cenar con la familia una pizza y voy a esta pizzeria pero últimamente he tenido que ir a comer o sea a mediodía,  pedí una pizza de champinones con pollo y un extra de peperoni,  el servicio a medio día no...Más"
"Indian Restaurant Flor de Loto","Decepcionante.","Probé este restaurante ya que estaba cerca de nuestro hotel. Leer críticas anteriores que las porciones de comida eran pequeñas, pero no lo encontramos. Comenzó con algunos Samosas, que eran muy difíciles y no mucho sabor. Entonces mi marido tenía un madras, que era como...un guiso y muy salada. Tuve el pollo a la mantequilla, y tengo que decir que fue de un tarro. No sutiles especias indias. Chapatis eran agradables - fresco, por lo tanto, el de una estrella. El servicio era rápido y agradable, pero en general, muy decepcionante. Vale la pena destacar el pago es sólo en efectivo.Más"
"Lorenzo El Griego","UNA ALTA EXPECTATIVA PARA UNA PÉSIMA EXPERIENCIA, DE GRECIA NADA!!!","Fuimos para tener un almuerzo especial y con ánimo de probar todo, nos encontramos con un servicio desastroso, una comida de tamaño casi insignificante, mi plato, las costillas de cordero, literalmente tres huesos con un bocado de carne cada una, no  mas de 100 gramos...Más"
"Tienda de Cafe","LO PEOR DE LO PEOR DEL PARQUE USAQUEN","La experiencia mas desagradable en restaurantes nuestra el 2017. Fuimos con mi familia a almorzar y de entrada vi que no le habian movido un pelo ni remodelado al mencionado restaurante en mas de 15 años. Pedimos de plato fuerte varios cortes de carne vacuna,...Más"
"El Arabe","Mala experiencia","Costoso el plato de cordero para el tamaño. 
A la cuenta le metieron jugos y aguas q no pedimos, y en tres ocasiones tuvieron q cambiarla x lo mismo. Pésimo servicio de atención a la mesa y demoradas bebidas y platos."
"Buffalo Wings","Decepcionante","Las alitas frías, el servicio disperso y sin prestar el más mínimo de cuidado a los clientes, a pesar de que teníamos a nuestra disposición más de 4 meseros en el segundo piso y solo habían 5 mesas, parecía como si no estuviera ninguno, que...Más"
"Kfc","KFC Restrepo","Sirven el pollo crudo, y ofrecen producto que no esta listo para despachar, haciendo perder tiempo al cliente."
"Salto del Angel","DE QUINTA","Apenas ingrese pusieron miles de peros por que uno de mis socios era negro, adicional el sitio esta lleno de prepagos, lo que lo ha convertido en un sitio de encuentros para extrangeros que buscan relaciones ocacionales, aparte cobran el licor a precios exagerados, la...Más"
"Dos Chingones","No es nada recomendable","Asistimos en familia a la celebración del cumpleaños de mi hija, nos demoramos dos horas y media en recibir la orden , y aunque se disculparon y trataron de explicar el porqué tanta demora no fue lo que esperaba, la verdad quede muy insatisfecha con...el lugar que a pesar de ser muy bonito les falta organización y respeto por el tiempo de los clientes, paso de ser una fecha muy especial a un momento muy incomoda con mi familia, conclusión quede muy mal por haberlos invitado a este lugar.Más"
"La Picaderia","PESIMOOO","Al llegar con reserva nos sentaron en dos silla con una mesita literalmente de cafe, en medio del patio sin sombrilla ni nada. La actitud del host es realmente hostil y grosera, como si hiciera un favor. Las entradas no llegaron por que se les...Más"
"LA BIFERIA CALLE 79","Chuleta de cerdo","Pésima atención en el Tintal plaza, pedí una chuleta de cerdo y desde demorada todo el plato solo era gordo no había carne por ningún lado o si las tiritas q se perdían en el gordo. Pedí cambio y me dijeron que no. Pedí para...Más"
"London Calling Pub","Un insulto a Londres","Olía a freír. Barra de desgaste personal y algunos, gorras pinafores. Fotos en la pared podría estar en cualquier lugar. Gente comiendo usando guantes a mano derecha. Pareja enfrente necesaria para conseguir una habitación. Nada agradable o Londres sobre este pub."
"Kfc","TERRIBLE EL SERVICIO","Con el pedido del día de hoy van tres ocasiones en las que experimento el mal servicio de kfc, la primera en un domicilio me enviaron las sobras del día, solo pedazos de masa sin pollo, presenté queja y la respuesta fue "" lo sentimos...mucho"" y ya; la segunda, con el domiciliario de hoy, solicite vueltas y no las traen, el trato del domiciliario es terrible, que como no trae vueltas que pague con tarjeta y como se pago en efectivo y no tenia mas se quedó con parte del dinero; y la tercera con la atención telefónica por querer imponer una queja por la atención del domiciliario y el personal telefónicamente fue grosero ya que me dice que si no pagaba en efectivo porque no pagaba con tarjeta y la queja me la recibía de caridad pues el no veía la queja.
Terrible el servicio en todos los aspectos, alimentos,  personal y trato al usuario.Más"
"Yanuba ","PESIMO","Mas de media hora esperando mesa, llegaban mas personas y los acomodaban primero dejándonos esperando aún más tiempo, inaceptable teniendo en cuenta que estamos con una persona mayor dependiente de una maquina de oxigeno que se descarga la bateria... Una falta de respeto total! Mejor...Más"
"El Arca","No lo recomiendo","Tenía el recuerdo de un muy buen restaurante, hoy volví pero tuve una muy mala experiencia. Las empanadas no estaban frescas, los plátanos fritos con carne desmechada no estaba frescos , fríos y la cantidad de hogao era muy poca. El jugo solamente era espuma...Más"
"Pizzeria DQM Da Quei Matti","Cancelan el pedido y no te","Cancelan el pedido y no te avisan, solo supe que lo habían hecho cuando llame una hora y media después a preguntar por qué no había llegado"
"La Rosconeria","Mucha demora","Duramos aproximadamente 40 mins esperando lo que habíamos pedido y además tocó cambiar de opción 3 veces pq no habían, aún así el pedido no fue completo. Mala atención"
"EL Poblado","Mala atencion","Desde que llegamos el servicio de los empleados a la mesa fue pésimo. El sitio estaba totalmente solo, no se puede escoger ni mesa."
"El Butcher","Mi primer comentario 1 estrellas va a Butcher!","Después de más de 50 restaurantes en Bogotá, camarada Vino tiene finalmente encontramos un auténtico restaurante cero estrellas...sin duda la peor comida en un restaurante de la ciudad. La experiencia comenzó como estábamos paseando por Zona G en una soleada tarde de fin de semana...y notamos la pequeña piscina cubierta/terraza exterior de madera laminada Steakhouse bañado en sol dorado. ¡Un lugar perfecto para un almuerzo tarde! Pedimos unos filetes de par y una botella de vino y sábado. La pesadilla comenzó cuando la botella de vino fue traído a nuestra mesa ya abrió sus puertas. Con el sol alimentación nuestras buenas humores, nos abandonado a la pregunta al camarero de que en los segundos de división entre ver la botella abierta y el punto en que el camarero rápidamente nos dirigimos a pour dos copas completos (con ninguna oportunidad de probar).  Una beba reveló una oxidadas, imbebibles vino. Pedimos hablar con el gerente y esperamos y esperamos.... parece ser que él también estaba en el teléfono. Mientras tanto, nuestros filetes salió. Habíamos pedido bistecs, medianas, pero ambos estaban completamente Raw (no rosa) en el centro de la ciudad. No hay problema, nos preguntaron si podían ser cocinados a mediano. Diez minutos más tarde los filetes emergido. Ambos eran ahora bien hecho y, peor aún, ambos eran 1/3 de su antigua tamaño! Esto no sólo fue el encogimiento de cocinar, nuestras carnes había sido suprimida! Siguen sin director. Esperamos y esperamos, aparentemente estaba todavía en el teléfono. Comimos nuestras patatas fritas en silencio, recoger un poco en la pieza de carne quemada en frente de nosotros (manteniendo la evidencia en el caso de que el director nos mostró la cara) e ignorar los vasos de vino imbebibles. Entonces sin pedirlo, el camarero nos trajo la factura y anunció el director había sido llamado. Nos protestaron por la inclusión de vino en la factura, pero no recibí ninguna asistencia. Como tres camareros se levantó alrededor de nosotros con las muecas digno de una pandilla de mafia, pagamos la factura y a la izquierda.Más"
"Grecia de Andrei","PESIMO RESTAURANTE","Mas de 1 hora de espera para que dijeran que se les había olvidado marchar las entradas. Otros clientes también molestos por pedidos incompletos luego de más de 1 hora de espera. Meseros mal entrenados, desatentos, no le hacen seguimiento a sus mesas no traen...Más"
"Barra Cafe Restaurante Aeropuerto El Dorado","ladrones pero os voy denunciarrrrrrr","Cuidado a todos las personas que pasan por este sitio, los camareros no entregan facturas, y si las pides es elevadisima, la trampa esta, en que tu revisas en casa y te das cuenta de que te han estafado, pero como ya has salido del...Más"
"La Cerveceria","Buena cerveza y mal servicio","Un restaurante con una decoración muy linda, la cerveza muy rica, pero el servicio al cliente muy malo. La comida fría, la mesera no sabía nada, se tomaron mucho tiempo para llevar la orden, para llevar la cuenta. Un verdadero desastre."
"Coctel del Mar","En serio, piénselo antes de venir","La entrada parece a la de un parque de diversiones pero sin diversión. No vale la pena. Además la comida no es es algo especial que justifique ir. Colas interminables, servicio normal y comida ... normal."
"Jungla Kumba","No vuelvo","La decoración llma la atención ... de ahi para alla nada.  La comida mala y costosa... todos los juegos de los niños hay que pagarlos, no hay nada de cortesia por ir al restaurante."
"The Monkey House","La peor experiencia de mi vida","La viví con mi esposa, con quien compré un groupon del lugar esperando conocerlo y saber si podría convertirse en un sitio de visita frecuente.

Hicimos la reserva con 24 horas de anticipación, y al llegar hicimos nuestro pedido.  La sorpresa fue que el groupon...Más"
"Tanoshii Asian Cuisine & Lounge Bar","Mal...","El plato # 1 para compartir es muy grasoso, todo viene tempurizado, mal sabor, y caro. También pedimos un sushi, de sabor estaba bien pero nada especial, costoso para la calidad de la comida. El lugar es agradable, la atención es buena, pero la comida...Más"
"Villanos En Bermudas","cocineros desagradables","Normalmente me gusta este concepto de restaurante con un menú único. Pero me parece que en ""Villanos en Bermudas"", que los cocineros no están muy atentos al cliente. No explican bien los platos. Y que también en los platos faltan carne o pescado, sobre todo...Más"
"Petronio Cocina de Autor","Mala atencion","Fui a almorzar con mi familia y la atención fue muy mala, básicamente es un   restaurante para adultos el cual no ofrece un menu infantil, me dijeron que comprara una chuleta entera y llevara el resto para la casa, puesto que ellos no ofrecen comida...Más"
"Leo","Ridículamente caro y escaso","No se como pueden ser tan descarados de cobrar tan caro por comidas muchas veces elaboradas con ingredientes tan básicos en la canasta familiar,así estén bien presentados, es algo ilógico y hasta estúpido pagar toda esa plata por pretender ser trendy, prefiero comerme una arepa...Más"
"Madre","Pésimo","El servicio fue pésimo, éramos clientes frecuentes pero al parecer fue bueno solo mientras obtenían clientela, pedimos una cerveza michelada y en lugar de sal le pusieron azúcar, pese a cambiar el vaso la cerveza continuó con un sabor desagradable, a pesar de eso volvimos...Más"
"Wingz N Beer","LO PEOR","Así es la entrega de los domicilios de este asqueroso restaurante, después de 3 horas de hacer el pedido. Frío, arrugado, y en el peor estado. Además el domicilio venía incompleto.
 NO RECOMIENDO ESTE LUGAR. NO LO HAGAN."
"Harrys Restaurant","EXCELENTE comida, excelente servicio... pero NO vuelvo...","...hasta que NO quiten el repulsivo e insultante mural que tienen a la entrada de los baños. Resulta que, en un país como Colombia, donde (nos guste o no) el 90-100% de las comidas en restaurantes las pagan los HOMBRES, este restaurante se permite el...lujo de poner un mural a la entrada de los baños diciendo: ""Las mujeres por aquí [indicando el baño de mujeres], los DESGRACIADOS por acá [indicando el baño de hombres]. Este restaurante parece haberse apuntado a la vomitiva y repugnante moda de criminalizar a TODOS los hombres por el mero hecho de serlo... y hasta que no abandonen esa suicida, estúpida y nauseabunda moda, que no cuenten con mi dinero. Es una gran lástima, ya que he ido a este restaurante docenas de veces y tanto la comida como el servicio siempre han sido buenos, pero no pienso volver a ir allí para pagar y encima que me insulten. Se pueden meter su ""corrección política"" y su feminazismo por donde les quepa.Más"
"La Vecindad - Mexican Grill","Comida pobre, mal servicio","Pedí un Steak 'tres cuatros, y era casi raro. Fue servido con tortillas de harina, que estaban frías. Pedí tortillas de maíz en lugar; estos también eran frías, y rancio. Cuando pagué, incluido el extremo ""voluntaria"" sin preguntarme. No regresaré."
"wok","Mala proporción calidad cantidad y precio","Las porciones de proteína son irrisorias respecto al precio, no lo recomiendo para las personas de  buen apetito.
Para los amantes de la comida asiática hay mejores alternativas que ofrecen mejor calidad y sabores más genuinos.
Este restaurante es ideal para personas en dieta o...Más"
"Osaki 93","Pesimo servicio","Despues de 50 minutos de espera ni siquiera trajeron las entradas.  Tuvimos que irnos sin comer.  Recomendable quizas si se cuenta con una hora para esperar a que llegue la comida."
"Wok","No tienen ni idea de manejar los pedidos y la cocina","Entramos hoy a las 12:00 de primeras al restaurante. Nuestro pedido fue el número 1 porque ya sabíamos que pedir y de inmediato me di cuenta del desorden de la solicitud de pedido en la cocina .39 minutos después  habían ya atendido múltiples mesas nosotros...Más"
"La Diva Pizzería","pesima experiencia","el servicio pesimo, desagradable a tal punto que hay que rogar para que por favor te traigan las bebidas.  los meseros totalmente displicentes se tiran la responsabilidad entre ellos y al final nadie te atiende.  La pizza es bastante mala excepto la de datiles que...Más"
"Bourbon Bistro","30  MINUTOS DE MAL SERVICIO","En una noche de amigos, pedimos unos aperitivos, luego pedimos entradas, a los 20 minutos de no tener respuesta llamamos (literalmente al teléfono del restaurante) a preguntar por nuestros pedidos, inmediatamente llegó la administradora a tomar nuevamente la orden.
Acto seguido llegaron dos meseros con...Más"
"Cuarto Frio Gastrobar","Mentiras, demoras y platos equivocados.","Pagué 240.000 y el costo beneficio fue nulo. Vinimos al cumpleaños de mi Papá y a él nunca le llegó su pedido. Siendo así, en mi experiencia de casi 2 horas se demoraron en traer las entradas, los platos principales tenían una cocción distinta a...Más"
"Pizza 1969","Nunca volveré","Pizza 1969 se volvió una pizzería de barrio. La calidad del producto y el servicio han desmejorado sustancialmente. Antes era de las mejores, peor hoy por hoy recomiendo NUNCA ir a Pizza1969Además, tuve una muy mala experiencia en la sucursal de Bulevar: 

Como siempre, se...Más"
"Abadia Colonial Restaurante","Mal Manejo de Situación","El Domingo presencié en el restaurante un muy mal manejo de una situación por parte del administrador del restaurante. Me encontraba cenando cuando una familia ingresó al restaurante con dos menores de edad una de las cuales tenía Síndrome de Down. El administrador se encontraba...fumando dentro del local, lo cual la menor notó. Al preguntarle la menor al administrador por su razón para fumar dentro del local, este estalló en cólera insultando  a la menor con Down y a su familia para luego removerlos del restaurante a la fuerza. Además de que el servicio mío fue lento, fue realmente abrumador ver cómo este señor trataba de esa manera a esa familia por un hecho que además yo personalmente iba a reclamar. No es adecuado que un administrador fume dentro de un local,  por toda Bogotá esto esta más que prohibido. Y por supuesto, mucho menos tratar así a una menor con Down y su familia exponiendo además a todos los presentes a presenciar un acto tan vil. Un hecho lamentable y un muy mal manejo de la situación por parte del administrador al cual deberían cambiar lo antes posible. No lo recomiendo la verdad.Más"
"Orleans American Bistro","El servicio es muy pobre","Rápidamente y que te sentado, tomar la orden. Después de eso todo misrabel. Absolutamente ninguna atención de personal. Estado aquí unas cuantas veces, trae tu propio ketchup y crema de ensalada, no le dará aun si lo pides, o mostrar cuando la comida ( my_account...) Usted estará hecho.Más"
"De Una Travel","Desafortunadamente la peor experiencia gastronómica que hemos tenido después de cinco semanas en Colombia.","Hemos disfrutado de comida y servicio increíble en toda Colombia. De una fue la peor experiencia por un largo camino. La comida tomó más de una hora para un sándwich y ensalada. El pollo en el sándwich estaba frío, la ensalada no era como la...descrita o representada en el menú. Peor aún, los precios eran exorbitantes en comparación con otros restaurantes increíbles que hemos visitado en nuestros viajes. Ahorre su dinero y compre ingredientes de sandwich en el supermercado.
Trampa turística completa - ¡cuidado! !Más"
"La Fama Barbecue","Terrible ir en grupo, carne seca","Es mi segunda  visita en grupo ( más de 10) y fue terrible. 

Los dos ultimos platos en llegar: la ensalada más básica del mundo y unas alas. ( 50 min después de que lo pedimos).

La mayoría de platos de costilla que pedimos estaban...Más"
"Santa Costilla","Pesima atencion","Santa costilla campestre.
Amigos... háganse un favor no vengan, atencion mala, platos excesivamente caros (2 pedacitos de mazorca 10000 cop) a un plato de $50000 le ponen 3pedacitos de yuca, cambiaron la ensalada sin avisarme n me llegaron con dos pedazos de tomate y 2...Más"
"Pesquera Jaramillo Parque de la 93","viven del nombre...","si viven o frecuentan Bogota sabrán entonces que pesquera Jaramilo es uno de sus restaurantes mas emblemáticos
Es importante acotar que esta opinion es mi, ""segundo chance"" a la pesquera ya que en mi penúltima visita estaban en el festival de la langosta y me...Más"
"restaurante mirador la paloma","la paloma ladrona","Cover de cuarenta poor el peonsr karaoke de bogota 
No tienen  menu y poor lo tanto no tienen precios 
Entrants 4 personas comimos  picada ,cervezas, 3 cocktails precio 850 .mil jajaj supeladrones primera y ultima ves  deben  ser denunciados  a protection del consumidor. How.?"
"Shamua","Peor atención al cliente jamás!!!","Este lugar tiene el personal wors del mundo!!! La azafata es un corto chica con una actitud fatal (y temas de la piel). Desde el momento en que cruce la puerta ella intenta explicar que están llenos y no podrá tener una mesa para alrededor...de dos horas, sin carisma o habilidades blandas. Ella la mirada rollos si su enfoque de preguntar algo, le da aspecto desagradable y es condescendent. He estado tres veces a este lugar este año (sólo porque une de mis amigos insistieron y cada vez el mismo) chica con la misma actitud horrible me hizo sentí como no es digno para pagar tales experiencia horrendus fur.

El resto del personal no está lejos detrás de ella. Nunca llevar todo el orden de una vez. Incluso uno de mis amigos estaba esperando toda la noche y su copa nunca llegó y otros camareros no será capaz de ayudarle a conseguir el retraso solucionado. (Es una pena, porque las bebidas y la comida son buenos, así que hay algunos talentos en la cocina y bar que se ponen en peligro con el servicio horrible)

Además, ten en cuenta que el menú no incluyen impuestos. Así que prepárate para pagar los impuestos y la propina para la experiencia del cliente más horrible que hayas tenido. Le dije a mi amigo después de esta última vez, prefiero tener una colonoscopia que poner un pie en este lugar de nuevo!!!Más"
"restaurante mirador la paloma","NOS ROBARON","NOS ROBARON HOY!
Entramos 6 personas a este sitio, no nos trajeron la carta, sino que ofrecieron alcohol, pedimos la carta de bebidas. Al final la trajeron,  dos personas pidieron jugo pero dijeron que era muy tarde para pedir jugo, que esta bebida tiene otro...Más"
"La Bodega de Abasto","Pésima experiencia con domicilio","Pedimos a domicilio unos pollos. Llegaron empacados súper bien, organizados y bonitos. Nos los fuimos a servir y apenas abrimos una pechuga estaba absolutamente cruda. Increíble que pagando uno 27.000 por medio pollo llegue crudo! Además de todo peligroso. Nos tocó poner todo el pedido...a terminar de cocinar.Más"
"Kokoriko","Ocupado el personal","Nos quedamos esperando nos atendieran, pero estaban muy ocupadas viendo la telenovela, el tiempo a punto y nunca llegaron, el restaurante solo.
No fui el único que se fue."
"Burger Music","Desorden total","El servicio a mesas es pésimo durante la noche, el desorden es tal que no saben lo que cobran, terminan cobrando más de la cuenta y no entregan factura"
"Revellion Cultu-Bar","Pésimo ... demasiado malo","Hice una reserva para el partido de Colombia, me dieron primero una mesa diferente a la que me prometieron, jamás llego la comida después de 2 horas .... pésimo lugar, no se los recomiendo en ninguna ocasión .... horrible experiencia en un evento tan importante...Más"
"Rock'N Stop","LA DECEPCION, NO VOLVERIA JAMAS","La atención y el servicio es pésimo, no son amables y de entrada me leyeron el reglamento para estar en ese lugar...Rescato la decoración, pero no se puede disfrutar del sitio...He comido mejores hamburguesas en un puesto de barrio, las papas fritas re-grasosas, es muy...Más"
